Data_Tweet,Autor,Local,Tweet_Text,Retweeted,Favourited,Retweet Count,Favorite Count,In Reply to
2018-03-06 15:00:35,Saraiva,,"b'Se os livros ja inspiravam os filmes, com as series nao seria diferente, ne? Venha ler as historias que deram origem as suas maratonas mais gostosas: https://t.co/v8wojEEISn https://t.co/HF0GEJpBpX'",False,False,2,23,
2018-03-05 22:00:01,Saraiva,,b'#quemnunca se perdeu e comecou a assistir aulas de outro curso na facul? Conta para a gente: https://t.co/1Uut03RvTl https://t.co/wR3Diu1rfw',False,False,0,13,
2018-03-05 20:00:23,Saraiva,,"b'ATENCAO, MULHERES! Dia 8/3 teremos um desconto EXCLUSIVO para voces. 50% OFF em livros e papelaria. Para aproveitar, cadastre-se agora: https://t.co/oqZjXRYcav https://t.co/mN7cWnDTQs'",False,False,101,220,
2018-03-05 18:01:00,Saraiva,,b'Sabia que na Saraiva da para comprar ate as 15h e receber no maximo as 22h? Confira as regioes atendidas e aproveite: https://t.co/eh3zihCB4a https://t.co/Djdazx9Vgp',False,False,1,14,
2018-03-04 20:00:02,Saraiva,,"b'Qual livro brinca com os seus sentimentos?\nDesencantada, o 5o volume da serie Best Seller ""Perdida"" ja chegou aqui na Saraiva. Para quem tem asas nos pes: https://t.co/bW1AxZUPp2 https://t.co/KuXG0e81Fo'",False,False,2,33,
2018-03-04 17:00:57,Saraiva,,b'Inclua a Saraiva na sua lista de passeios para a semana. Temos uma porcao de eventos esperando por voce: https://t.co/IUrHLqVdze https://t.co/9gXaw2aDcG',False,False,0,10,
2018-03-04 14:00:01,Saraiva,,"b'Este thriller ambientado na Guerra Fria utiliza uma narrativa em tempo real e gera uma expectativa extraordinaria. Impossivel parar de ler.  Booklist. Topa comecar ja? ""Contagem Regressiva"", de @KMFollett, aqui na Saraiva: https://t.co/EEk4B3ooIg https://t.co/Tn6LakiV77'",False,False,1,10,
2018-03-03 23:00:01,Saraiva,,"b'#leiamulheres: Valorize a literatura feminina! Leia ""O Conto da Aia"" de @MargaretAtwood: https://t.co/gI7LPG033e https://t.co/VTahD2gwya'",False,False,12,64,
2018-03-03 20:00:02,Saraiva,,"b'Conta ai: qual e o seu filme favorito da historia do Oscar? E aproveite para levar uma copia para casa por apenas R$19,90:  https://t.co/Kn51Au61D7 https://t.co/DV1W9R9sMT'",False,False,0,9,
2018-03-03 17:00:28,Saraiva,,"b'O melhor remedio para os dias tristes? Um filme como ""Extraordinario""! Sorte que e possivel ter essa receita para sempre: https://t.co/Kjnrm9sqw8 https://t.co/51m4zYmizJ'",False,False,2,40,
2018-03-03 14:00:02,Saraiva,,"b'Oi, @jtimberlake! Vamos contar umas curiosidades sobre voce, tudo bem? Para! Nao faz essa carinha: https://t.co/UWM5Oit6hA https://t.co/m9rdmyn31p'",False,False,15,82,
2018-03-02 21:00:00,Saraiva,,"b'Vamos comemorar? Ruth Rocha, uma das mais importantes escritoras brasileiras, completa 87 anos. Leitura obrigatoria para o desenvolvimento de toda e qualquer crianca: https://t.co/4l60A78Ykv https://t.co/QyjFDJqUfD'",False,False,5,37,
2018-03-02 19:00:01,Saraiva,,"b'Contadores, deixem os calculos complexos para depois. Nosso desconto progressivo em livros de contabilidade e facil, facil: https://t.co/JXvSOFptqU https://t.co/F1Z5jCcd8Y'",False,False,1,10,
2018-03-02 17:00:03,Saraiva,,"b'Ragnarok: o ""apocalipse"" da mitologia nordica. Thor vai assumir essa bronca e voce vai curtir tudo do sofa de casa: https://t.co/gegHaJburl https://t.co/iwmP8ctLtl'",False,False,4,21,
2018-03-02 14:00:00,Saraiva,,"b'Filhos geniais que nao deixam os pais em paz? Leia ""Socorro, Meu Filho Nao Tem Limites! - Manual Pratico Para Educar Filhos Ansiosos, Mas Muito Inteligentes"": https://t.co/ze7Dbnkj2Q https://t.co/5C8IoPCmRt'",False,False,2,16,
2018-03-02 12:30:15,Saraiva,,b'Voces pediram e a gente atendeu! \\o/ https://t.co/NQPSX9ITZa',False,False,69,301,
